id,name,setter_username,angle,is_listed,layout_id,hsm,is_benchmark,display_difficulty,grade
002047402B6941CEA5ED7BB09FBFE14D,4/26 Harder Than It Should Be,kilterjackie,,0,1,3,1,18.0,V4
002ED50792A94E5EB2127D59E167B2EE,what kind of triangle,bctyner,,0,1,3,1,25.0,V8
003FF8E4DA8448E39696635E6DBD7B7C,this is a statement,progressionclimbing,,0,1,1,0,,
004FB7A0C0754DA98634C5EE4D985D9A,SpEeD cLiMbInG,jefferoni,,0,1,1,0,29.0,V12
00683d10a8e246b3a106531c8573f13c,marks 1 try,mark.nalder,,0,1,3,1,14.3333,V1
00690bbc93fd4e55974a60c9dd601474,Tic tac toe Sogndal,Espenher,,0,1,3,1,16.0,V3
006f95cbc91545afa69ff5ff4a737f45,elmer vincent 3,lemeeer,,1,1,1,0,16.0,V3
0092AE0A6EA54C479E80F1087407545F,Andrew’s Climb,Hunta,,0,1,3,1,,
009fba3611b14b43abf535fad75e75bc,pumpkin,beepbeep,,0,1,1,0,12.0,V0
00A14B4AA94B4E18B32DC9B047AC4545,dead points (tristyn) 1,TristynButler,,1,1,3,1,17.5,V3
00A7E21491AB4701963AAFD114728697,easy clap,climbcentral,,0,1,1,0,19.3333,V4
00b51e6f641548c6b212575b1b2e9619,pinoccio,pleegaard,,1,1,3,1,21.0,V5
00B8F8A461C84A09A9AB1D5844517D92,zoumba,golden_boy,,1,1,3,1,21.875,V5
00C33976D7C74AE989E07F47E0242D3A,🤥😓rtf first nice a good game to be a good bit 👀🧠👄👄📷,dosallen,,0,1,3,1,,
00cf2e0a8136466a98d6c96c0e6cd483,boulders for Beth 4,MichaelYong,,0,1,1,0,,
00D1B6050A5B47CD97B2C5075EFE5E24,get er done,eggsbenedikt,,0,5,1,0,,
00D2A875393A4F01840ADAD1A6D8D311,Easyv,dperez,,0,1,3,1,,
00E5C44B15C5465B87000F87D4ABEAEA,shmako,bkbskilterboard,,0,1,3,1,,
00F1ED2F90914046B81E3997BADD0404,sofia,jyeam20,,0,1,3,1,,
00F2F913BF1643FFAB63AE84E1D784CF,poop cock,slopefrancis,,0,1,1,0,21.6667,V5
00F64EF8E9A0430A85EE350244B165D6,faggot,hangar18LB,,0,1,3,1,15.0,V2
00FB55674227473CAF364A948E4ED583,Blue skies,9dlanecove,,0,1,3,1,17.0,V3
00FF055E0C114DA0B2A7AFE9D482CA0E,u choose,BKBChicago,,0,1,1,0,,
010155F3B85D4EEAB07E878385564196,the best bat hang,Hangar18Rancho,,0,1,3,1,,
010814b524154e9fbfae79a178001667,Paulpold,Paulpold,,0,1,3,1,,
0109E8111138467AB58D115BDB2DF9AA,Ngg and stanley,climbcentral,,0,1,3,1,,
010CEA5BAB974BD599DB323CDEABF765,frick my dog did this,conner,,0,1,3,1,,
011a7ca9c6e14554ad332c219ef381eb,a priori pas besoin 123,Katwoman9,,0,1,1,0,,
011cf0a5c9ee407eb1c3a57508c23ce8,The Peshmerga,langmack,,0,5,1,0,,
012265D5B3F543B29347D3C88A4B21F1,Newer Spaces 8.28,kilterian,,0,1,1,0,,
013B291703E34570A035E15309A1E3E3,ggx,dperez,,0,1,3,1,,
0142ED8B937B4CFCB1F3ED811D3FFFE5,fastoche,william,,1,1,3,1,20.0,V5
0148D5B0E5F2425A851F15878285DEE8,simetrical Sammy,longmont,,0,1,1,0,33.0,V16
0149efaa214e4a9dbc8b0a4b152127a3,Fire and Ice,Arne,,1,1,3,1,22.8,V6
014DA1AB1CAE4C6BA71551C02B96AB6D,twister with it,DynoClimb,,0,1,1,0,,
0154D12D082A4334A1010EE98DD4DBF9,100’s Incuts and Pinches K011,kilterian,,0,1,1,0,10.0,V0
015F61B6ED4C49A18E566E4F78793546,20 pinches,KilterStudio,,0,1,1,0,,
