grade,mean_error,std_error,count
0,3.5441857863749777,1.8237535174771835,112
1,2.7368865165710448,1.664738042564547,125
2,2.2111572691824586,1.2975031767801972,113
3,1.403401734587414,1.2536771326000076,306
4,0.7456421896735614,1.1525251423624367,374
5,0.12570271625385418,1.206108631651789,429
6,-0.6224844941726098,1.1230486532123596,260
7,-1.6518936863651983,1.2396129206205662,189
8,-2.2291820374402134,1.2163610113722487,187
9,-3.034496285021305,1.2774565140493341,64
10,-4.0105708213079545,1.1358804103702598,42
11,-4.923439275650751,1.231693706683162,21
12,-6.084624597004482,1.3146965651538782,14
16,-9.356985892568316,2.4140139341151277,28
